Target,Table,Dataset,Theme,Subtheme,Tablequeryname,Indicatorcode,DecimalprecisionQuerylevel,IndicatorLabelEN,GlossaryDefinitionConcept1,GlossaryDefinitionConcept2,REGIONALSUMSTATUS
1.a,1.a.GDP,Education 2030 Framework for Action,Government expenditure on education as a percentage of GDP,,Government expenditure on education as a percentage of GDP,XGDP.FSGOV,,Government expenditure on education as a percentage of GDP (%),Government expenditure on education as % of GDP,Expenditure on education,
1.a,1.a.2,Goal 1,"Target 1.a: Ensure significant mobilization of resources from a variety of sources, including through enhanced development cooperation, in order to provide adequate and predictable means for developing countries, in particular least developed countries, to implement programmes and policies to end poverty in all its dimensions","1.a.2 Proportion of total government spending on essential services (education, health and social protection)",1.a.2 Proportion of total government spending on essential services (education),XGOVEXP.IMF,,Expenditure on education as a percentage of total government expenditure (%),Expenditure on education as % of total government expenditure (all sectors),Expenditure on education,
4.1,4.1.0,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.0 Proportion of children/young people prepared for the future, by sex",1.a.2 Proportion of total government spending on essential services (education),PREPFUTURE.1,,"Proportion of children/young people at the age of primary education prepared for the future, both sexes (%)","Proportion of children/young people prepared for the future, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.0,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.0 Proportion of children/young people prepared for the future, by sex",1.a.2 Proportion of total government spending on essential services (education),PREPFUTURE.1.F,,"Proportion of children/young people at the age of primary education prepared for the future, female (%)","Proportion of children/young people prepared for the future, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.0,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.0 Proportion of children/young people prepared for the future, by sex",1.a.2 Proportion of total government spending on essential services (education),PREPFUTURE.1.M,,"Proportion of children/young people at the age of primary education prepared for the future, male (%)","Proportion of children/young people prepared for the future, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.0,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.0 Proportion of children/young people prepared for the future, by sex",1.a.2 Proportion of total government spending on essential services (education),PREPFUTURE.2,,"Proportion of children/young people at the age of lower secondary education prepared for the future, both sexes (%)","Proportion of children/young people prepared for the future, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.0,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.0 Proportion of children/young people prepared for the future, by sex",1.a.2 Proportion of total government spending on essential services (education),PREPFUTURE.2.F,,"Proportion of children/young people at the age of lower secondary education prepared for the future, female (%)","Proportion of children/young people prepared for the future, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.0,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.0 Proportion of children/young people prepared for the future, by sex",1.a.2 Proportion of total government spending on essential services (education),PREPFUTURE.2.M,,"Proportion of children/young people at the age of lower secondary education prepared for the future, male (%)","Proportion of children/young people prepared for the future, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, both sexes (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
4.1,4.1.1,Goal 4,"Target 4.1: By 2030, ensure that all girls and boys complete free, equitable and quality primary and secondary education leading to relevant and effective learning outcomes","4.1.1 Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",4.1.1 Achieving at least a minimum proficiency level in reading in Grade 2 or 3,READ.G2T3.F,,"Proportion of students in Grade 2 or 3 achieving at least a minimum proficiency level in reading, female (%)","Proportion of children and young people (a) in grades 2/3; (b) at the end of primary; and (c) at the end of lower secondary achieving at least a minimum proficiency level in (i) reading and (ii) mathematics, by sex",Minimum proficiency level (reading and mathematics),
